name,ingredients,preparation
ARROZ CON PATO A LA CHICLAYANA ,"1 k de arroz,1 ½ taza de zapallo loche rallado,1 atado de culantro,Ajos, pelados y picados,Aceite,Pimienta,1 pato de 2 k, pelado y limpio, trozado en presas,1 k de arvejas verdes, peladas,½ taza de zapallo, picado,1 botella de cerveza negra grande,1 cubito sazonador,Sal"," Calentar el aceite en una sartén y dorar las presas de pato.
Una vez doradas retirarlas a un recipiente.
Verter el aceite donde se frieron las presas de pato a una olla. Agregar el ajo, las arvejas.
Licuar el culantro con la cerveza negra y verterlo a la olla. Agregar 4 tazas de agua, el zapallo rallado y picado. Sazonar con sal, pimienta y sazonador.
Colocar las presas de pato para terminar de cocinarlas. Retirar una vez cocidas y reservarlas en un recipiente, tapando para que no se enfríen.
Echar el arroz, bajar el fuego y dejar granear. Colocar las presas de pato al final. 
Servir.
Receta proporcionada por Irene Arbulú Guillén
"
ARROZ CON PATO,"4 piernas de pato,1/2 taza de aceite,1 taza de cebolla picada,3 dientes de ajos picados,3 cucharadas de ají amarillo molido,1 taza de culantro molido,1/2 taza de pisco,4 tazas de caldo de pato,1 taza de cerveza rubia,3/4 tazas de alverjas,1/2 taza de zanahoria en cubos,2 pimientos rojos,1 ají amarillo en tiras,3 tazas de arroz,Sal y pimienta"," Sazone el pato con sal y pimienta. Fríalo en aceite durante siete minutos. Retire una vez dorado. En el mismo aceite fría la cebolla, el ajo, el ají amarillo molido, el culantro y cocine unos minutos. Vierta el pisco, el caldo y la cerveza.
Incorpore el pato y cocine 35 minutos, retire y mantenga caliente. 
Añada la alverja , la zanahoria, un pimiento picado, el ají amarillo en tiras y el arroz. Una vez roto el hervor, baje el fuego y cocine de 15 a 20 minutos. Sirva el arroz con las presas de pato, adorne con el pimiento restante cortado en tiras.

Receta del Sr. Pedro Cruz Cuba. (Lima - AFP Horizonte).
Mención Honrosa en el concurso organizado por la Asociación de AFP, Perú."
ARROZ CON OLLUQUITOS Y CHAMPIÑONES,"3 cucharadas de mantequilla,1 cucharadita de ajo molido,1 cucharadita finas hierbas ( estragón, tomillo, mejorana),1 cucharadita salsa inglesa Wocestershire,½ k (1 lb) champiñones,300 g (10 ½ oz) ollucos, rallados muy fino,3 tazas de arroz blanco,1 ½ taza de crema de leche,1 taza de queso Parmesano, rallado,Sal,Pimienta"," Saltear los champiñones con la mantequilla y el ajo molido. Agregar finas hierbas. Reservar.
Pelar los ollucos y rallarlos muy fino. Reservar.
Preparar 3 tazas de arroz de la forma acostumbrada. Cuando el agua del arroz se evapore colocar encima los ollucos sin mezclar con el arroz. Tapar de nuevo la olla y dejar que el arroz termine de cocinarse. Añadir los champiñones y mezclar. Añadir la crema de leche, y el queso Parmesano. Si fuera necesario, agregar leche o caldo para lograr la consistencia deseada. Rectificar la sazón. 
Servir.
"
ARROZ CON MARISCOS,"2 docenas de conchas, limpias,2 docenas de choros cocidos,1 docena de almejas, limpias,2 docenas de langostinos o camarones, pelados,½ k de aros de calamar,1/4 de taza de aceite, aproximadamente,1 cebolla mediana, finamente picada,2 dientes de ajo, molido,4 tazas de arroz,1 taza de vino blanco, seco,4 ½ a 5 tazas de caldo de pescado, palabritas, choros, cabezas y caparazones de mariscos,4 cucharadas de ají amarillo fresco, aproximadamente, sin semillas ni venas, molido,Laurel,1 rama de orégano,2 cucharaditas de páprika o pimentón,4 a 5 tomates, pelados, sin semillas, picados,¾ de taza de arvejas, cocidas,Sal,Pimienta,Ají limo, limpio, sin venas ni pepas, finamente picado (opcional),Hojas de culantro (opcional)"," Lavar bien los choros y colocar en una olla y cubrir apenas con agua fría. Llevar a hervir y esperar que los choros se abran. Retirarlos inmediatamente del agua hirviendo para que no queden duros y dejarlos enfriar. Una vez fríos retirarlos del caparazón y limpiarlos.

Cortar las almejas en tiras, enjuagar y hervir de 15 a 20 segundos en agua. Escurrir inmediatamente y colocar en un recipiente con agua y hielo. Reservar.

Cocinar los langostinos o camarones en agua hirviendo con sal, de 2 a 3 minutos. Escurrir y conservar en agua fría. Reservar.
Arroz:Calentar la mitad del aceite en una olla grande y dorar la mitad del ajo. Agregar sal y luego el arroz. Mover hasta que se ponga brillante. Agregar ½ taza del vino blanco seco y dejar que el alcohol se evapore. Agregar el caldo de mariscos preparado (caliente). Llevar a hervir y luego bajar el fuego al mínimo. Tapar la olla y dejar que el arroz se cocine (aproximadamente 20 minutos) y granee. Retirar y enfriar.

En una olla grande verter el resto del aceite y agregar la cebolla picada, el resto del ajo molido, sal y pimienta, laurel , orégano, páprika o pimentón, ají y el tomate. Cocinar a fuego fuerte y agregar ½ taza de vino blanco. Dejar que se evapore el alcohol. Agregar el
arroz, las arvejas cocidas y mezclar. Agregar los choros, almejas, langostinos reservados. Mezclar y agregar las conchas y aros de calamar crudos. Esperar que se cocine el calamar y las conchas por 1 ó 2 minutos y retirar del fuego. Rectificar la sazón. Si se desea, agregar 1 ají limo finamente picado y hojas de culantro. Mezclar bien y servir.
12 - 14 personas aproximadamente


Yanuq le invita a probar estos deliciosos arroces:


Arroz con lentejas y cebollas caramelizadas


Arroz con espinaca


Arroz chaufa de mariscos


Arroz con choros


"
ARROZ CON CONCHAS ,"1 k (2.2 lb) conchas,3 tazas de arroz,1 k (2.2 lb) ají amarillo fresco,1 diente de ajo picado,¼ taza mantequilla,1 cucharada de aceite vegetal,1 taza de vino blanco seco,¾ taza queso parmesano rallado,Perejil picado menudo,1 cebolla grande picada"," Pelar, despepitar y sacar las venas del ají.
Cocinar en agua que lo cubra con 1/4 taza azúcar para bajar el picante.
Licuar con aceite y sal hasta obtener la consistencia de un puré.
Preparar arroz con la mitad del ají.
Aparte, dorar cebolla picada y ajo en mantequilla con 1 cucharada de aceite, hasta que esté transparente.
Añadir el resto de ají. Rehogar.
Añadir las conchas con vino blanco. Dejar que hiervan 3 minutos. Servir inmediatamente.
Para servir moldear el arroz y poner encima la salsa de conchas.
Cubrir con queso parmesano y espolvorear con perejil picado.
"
ARROZ CON CHOROS ,"1 ají verde, cortado en tiras delgadas,6 cucharadas de aceite,½ taza de cebolla, picada,½ cucharada de ajos, molidos,Comino,½ atado de culantro (mitad molido y mitad picado),Ají fresco molido, al gusto,¾ de taza de arvejas,1 cucharada de jugo de limón,1 pimiento rojo, sin semillas cortado en tiras,1 copita de pisco,Sal,4 a 6 docenas de choros, bien cerrados,3 tazas de arroz,3 tazas de caldo de choros"," Lavar bien los choros y acomodarlos en una olla con 3 tazas de agua. Ponerlos al fuego y llevar a hervir.
Retirar los choros conforme se van abriendo. Limpiarlos y colar el caldo.En una olla, calentar el aceite y freír la cebolla con los ajos hasta que estén tiernos. 
Agregar el comino, el ají fresco molido, el ají en tiras, el pimiento en tiras y las arvejas. Cuando este aderezo esté cocido, agregarle el caldo de choros, el culantro picado, el culantro molido, el pisco y el jugo de limón.
Llevar a hervir y echar el arroz. Tapar la olla, bajar el fuego y dejar cocinar a fuego lento durante 17 minutos. 
Incorporarle los choros, revolviendo con un tenedor.Servir y acompañar con salsa criolla.
Receta de la Sra. Teresa Ocampo
"
ARROZ CON CAMARONES ,"1 k de camarones,4 tazas de arroz,½ taza vino blanco,½ taza cerveza,13 dientes de ajo triturados,1 taza cebolla picada,3 cucharadas de,2 cucharadas pimentón,½ k de arvejas cocidas,5 ají amarillo fresco desvenado, despepitado y picado menudo,4 pimientos picados,Aceite,Sal,Pimienta,Perejil picado"," Saltar 3 dientes de ajo con 2 cucharadas de aceite.
Cuando los ajos estén dorados, agregar 4 tazas de agua, esperar que hierva y agregar el arroz.
Bajar a fuego moderado y cocinar tapado por 15 a 20 minutos hasta que termine de cocinarse. Verter una cucharada de aceite encima y volver a tapar durante cinco minutos. Peinar con un tenedor para que se termine de granear. Reservar y reposar 2 horas para que se enfríe.
Limpiar los camarones, extraer el coral y separar las colitas.
Hervir agua con sal en una olla. Echar las colas de los camarones y hervir por 2 minutos hasta que tomen color rosado. Retirar del agua y reservar.
En una sartén grande freir el resto de los ajos, la cebolla picada, pimiento, ají panca en pasta, ají amarillo fresco, pimentón, sal y pimienta. Cuando esté todo bien frito, agregar la cerveza y hervir unos minutos.
Agregar el coral de los camarones. Mezclar.
Agregar el vino blanco y el arroz. Se mezcla hasta que tome un color parejo y se espera que granee unos minutos.Al momento de servir agregar la mitad de las colas de camarón y mezclar.
Se sirve en fuente. Adornar con arvejas cocidas, el resto de las colas de camarón y perejil picado.
"
ARROZ CON CALAMARES Y LANGOSTINOS A LA VICHAYITO,"4,Aceite vegetal (para licuar los ajíes),3 ½ tazas de arroz,7 dientes de ajo picados,½ taza de aceite de oliva,1 cebolla grande finamente picada o rallada,1 pimiento rojo en tiras,1 kilo de langostinos limpios,3 latas de calamares en su tinta (115 g c/u = 4 1/16 oz),1 taza de arvejas cocidas,Sal,Pimienta"," Licuar los ajíes con aceite para formar un puré suave. Reservar.
Preparar el arroz de forma convencional, bien graneado, con 2 dientes de ajo picados. Reservar. 
Calentar el aceite de oliva en una olla, agregar las cebollas y freír hasta que estén transparentes, añadir luego los 5 dientes de ajo picados y el pimiento. Freir uno o dos minutos más. Sazonar con sal y pimienta. 
Agregar el puré de ajíes y los langostinos. Cocinar, moviendo ocasionalmente, hasta que los langostinos cambien de color. No cocinar los langostinos en exceso porque se vuelven duros.

Añadir el contenido de las latas de calamares en su tinta y las arvejas cocidas. Calentar rápidamente, moviendo. Rectificar la sazón.

Mezclar esta preparación con el arroz graneado. Calentar y servir inmediatamente para evitar que los mariscos se cocinen en exceso.

Colaboración de la señora Gloria Camarero de Alayza
"
TALLARINES EN SALSA HUANCAINA CREMOSA,"1 k de tallarines,12 – 14 ajíes, sin semillas, ni venas, cortados en trozos, aproximadamente,¼ de taza de aceite,350 g de queso crema,2 dientes de ajo, finamente picados,Sal,Pimienta,2 choclos, desgranados y cocidos, aproximadamente,1 huevo cocido, pasado por colador, para decorar,1 cebolla picada"," Colocar 2 cucharadas de aceite en una sartén y dorar los ajíes por unos minutos. Pasarlos a la licuadora y licuarlos. Si fuese necesario agregar 1 cucharada de aceite. 
Calentar el resto del aceite en una sartén y freir la cebolla de 2 a 3 minutos.

Agregar los ajos y cocinar por unos minutos más. Agregar luego el ají molido y cocinar moviendo 1 – 2 minutos.

Agregar el queso crema, cortado en trozos y mover hasta que se haya derretido y mezclado. Sazonar con sal y pimienta.

Cocinar los tallarines en agua hirviendo con sal hasta que estén al dente. Escurrir y reservar 1 taza del líquido de cocción.

Agregar los tallarines ya escurridos a la salsa del queso y mezclar. Agregar el líquido de cocción necesario para que la salsa esté cremosa. Mezclar la mitad del choclo y servir caliente.

Esparcir el choclo restante por encima y salpicar con huevo cocido pasado por colador.

6 personas
"
ARROZ AL ESTILO DE PEPE ,"3 tazas arroz blanco,1 ½ taza,200 g (7 oz) tocino, picado,½ taza de hojas de culantro fresco,½ taza maní tostado sin sal, picado menudo,1 taza de"," Cocinar el arroz de la manera acostumbrada. Dejar enfriar y separar.
Dorar el tocino en una sartén. Agregar el pimiento. Dejar que cocine, mezclando bien.
Incorporar el maní y luego el culantro. Mezclar bien.
Agregar el arroz y choclo desgranado a esta mezcla, moviendo con una cuchara para que se mezcle bien todo.
Servir el arroz bien caliente.
Sirve para acompañar carnes.
"
ÑOQUIS DE YUCA EN SALSA DE QUESOS Y PORTOBELLO,"1 k (2.2 lb) de yuca,250 g (9 oz) de harina,80 g (3 oz) de queso parmesano rallado,1 huevo,Sal,Nuez Moscada,Pimienta,1 taza de crema de leche (puede reemplazarse por leche evaporada),150 g (5 ½ oz) de queso Paria de Puno o similar, rallado,200 g (7 oz) de queso mantecoso, rallado,100 g (3 ½ oz) de hongos Portobello, cortados en rodajas (se puede reemplazar por champiñones,3 tomates, pelados y sin semillas, picados en dados pequeños,Albahaca, picada,Sal,Pimienta"," Pelar la yuca y colocarla en una olla con agua que la cubra.  Llevarla a hervir y cocinar hasta que esté tierna y suave.
Pasar la yuca caliente por un colador y dejarla enfriar. Agregar la harina cernida con la sal y amasar. Incorporar el huevo y seguir amasando hasta tener una masa homogénea. Añadir el queso parmesano y sazonar con sal, pimienta y nuez moscada. Si la mezcla estuviera muy suelta, se puede agregar un poco mas de harina.
Dividir la masa en 10 partes iguales y hacer rollitos largos de 1 cm (½ pulgada) de grosor.
Cortar cada rollito en trozos de 2 cm (¾ de pulgada). Pasar cada ñoqui por los dientes de un tenedor, apretando por el centro. Debe quedar como un caracol enrollado. Acomodarlos en una placa enharinada para que no se peguen.
Hervir agua con sal en una olla. Agregar los ñoquis al agua hirviendo. Una vez que los ñoquis suben a la superficie y flotan, retirarlos con una espumadera e irlos colocando en un recipiente que contenga 3 cucharadas de mantequilla derretida con sal.
Salsa:Calentar la crema de leche en una olla o sartén honda, a fuego medio. Agregar los quesos rallados y dejar que se derritan a fuego lento.
Aparte calentar 1 cucharada de aceite de oliva en una sartén y colocar las rodajas de hongos portobello en una capa. Dejar que se doren por debajo, sin mover. Una vez que se doren darles la vuelta con una pinza o tenedor y dejar que se doren por el otro lado. Retirar conforme se van dorando y reservar.
En esa misma sartén echar el tomate y cocinarlo 2 minutos. Luego agregar el albahaca picada y cocinar 1 minuto más.
Agregar los hongos dorados y la mezcla de tomate a los quesos derretidos. Agregar más leche si fuese necesario. Sazonar con sal, pimienta y nuez moscada. 
Mezclar con los ñoquis ya cocidos y servir inmediatamente.
6 personas
"
ARROZ CON CALAMARES ,"2 k (1lb) calamares,½ taza de aceite de oliva,1 cebolla grande picada,3 cucharadas de ajo molido,1 taza de cebolla china picada (parte blanca y verde),¾ taza de,2 cucharadas,1 cucharadita finas hierbas,4 cucharadas de tinta de calamares,1 taza de pimiento rojo picado,Sal,Pimienta,1 taza de vino blanco seco,3 tazas de arroz,1 tazas de arvejas frescas,2 tazas de agua"," Limpiar los calamares, cortar los cuerpos en aros y el resto picarlo grueso.
Calentar, en una olla, el aceite de oliva y dorar la cebolla. Agregar el ajo, ¾ taza de cebolla china, ají amarillo, ají panca en pasta, finas hierbas, la tinta de los calamares, ¾ de taza de pimiento rojo, sal y pimienta. Cocinar por 10 minutos a fuego moderado. Incorporar el arroz, hervir por dos minutos y agregar el vino, el agua y las arvejas frescas. Tapar y cocinar el arroz a fuego moderado.
Antes de servir, agregar los calamares y el resto de cebolla china y pimientos picados. Cocinar sólo lo necesario (5 a 10 minutos) para que los calamares no se endurezcan por exceso de cocción. Servir inmediatamente.
Acompañar con salsa de ají amarillo fresco para quien desea comer más picante.
Si no se dispone de la tinta de los calamares, se puede sustituir por 2 tazas de culantro licuado con 1 taza de aceite y se incorpora en lugar de la tinta.

8 – 10 personas
"
ARROZ AL OLIVAR,"2 tazas de arroz,1 taza de aceitunas de botija, sin pepa, licuadas con ½ taza de agua,¼ de taza de aceite,1 cucharadita de ají molido,2 dientes de ajo, finamente picados,3 tazas de agua, aproximadamente (puede ser caldo de pollo),1 ají amarillo fresco, sin semillas ni venas, picado (opcional),Pasas (opcional),Pecanas picadas (opcional),Sal,Pimienta"," Calentar el aceite en una olla mediana y sofreír el ajo teniendo cuidado de que no se queme.
Agregar el arroz y mezclar bien para que se impregne del aderezo. Incorporar el ají molido, las aceitunas licuadas, sal y pimienta y mezclar. Agregar, si se desea, el ají amarillo picado y las pasas. Agregar el agua y llevar a hervir. Una vez que hierva, bajar el fuego al mínimo y dejar cocinar tapado hasta que el arroz esté en su punto.
Agregar las pecanas, si se desea, y mezclar con un tenedor.
Servir.

Otros arroces:
Arroz con lentejas y cebollas caramelizadas
Arroz con olluquitos y champiñones
Arroz con pecanas, ají y pasas

4 – 6 personas
"
FIDEOS EN SALSA DE AJI ,"2 cebollas grandes, finamente picada,12 ajíes frescos, limpios sin semillas y venas, licuados,Sal,1 k (2 lb 4 oz) fideos (tipo spaghetti) cocidos al dente,1 taza de mantequilla,1 cucharada de ajos molidos,2 latas de leche evaporada,Queso parmesano,Choclo cocido para decorar (opcional)"," Derretir en una olla la mantequilla. Agregar la cebolla los ajos y dorar a fuego mediano. 
Sazonar. Agregar los ajíes licuados y la leche. Cocinar a fuego lento hasta que empiece a espesar. Retirar la olla del fuego y mezclar con los fideos. 
Servir y espolvorear encima con queso parmesano. Agregar choclo cocido para la decoracion, si se desea.
Receta de la Sra. Teresa Ocampo

8 personas
"
SOUFFLE DE YUCA Y QUESO,"1 ½ k (5 lb 5 oz) de yuca de buena calidad (de preferencia amarilla),2/3 de taza de leche, aproximadamente,1/3 de taza de mantequilla sin sal + 2 cucharadas,¾ de taza de queso parmesano, rallado,2 huevos grandes, ligeramente batidos,450 g (1 lb) de queso mozzarella, cortado en trozos de 1 cm (½ “), aprox. 3 tazas,200 g (7 oz) de queso suizo o mantecoso, cortado en trozos de 1 cm (½ “), aprox.1 taza,Sal,Pimienta,Opcional:,½ taza de migas de pan tostado, molido,¼ de taza de perejil, finamente picado,¼ de queso parmesano rallado,½ taza de migas frescas de pan, desmenuzadas"," Pelar las yucas y partirlas en trozos. Cocinarlas en agua hasta que estén tiernas.
Pasar las yucas calientes por un prensapapas o pisarlas o aplastarlas con un tenedor para formar un puré. Calentar la leche con el 1/3 de taza de mantequilla y agregarla a la yuca hasta tener consistencia deseada para un puré. Agregar ¾ de taza del queso parmesano y mezclar bien. Sazonar con sal y pimienta. Agregar los huevos ligeramente batidos y mezclar.
Engrasar con la mantequilla restante el fondo y costados de un molde refractario de 2 litros de capacidad. Verter la mitad del puré y esparcir encima los quesos. Si se desea, se pueden mezclar los quesos, antes de esparcirlos, con crema de ají. Cubrir con el resto del puré.
Cubierta:Mezclar la miga de pan seco y la miga fresca con el perejil picado y el queso parmesano. Espolvorear encima del puré y llevar al horno precalentado a 350ºF (180ºC) por 35 minutos. Aumentar la temperatura a 425ºF (220ºC) y continuar horneando 15 a 20 minutos más hasta que el soufflé haya crecido ligeramente, esté caliente y ligeramente dorado.
Este soufflé puede prepararse la víspera y mantenerlo cubierto en la refrigeradora hasta 2 horas antes de hornear. No hornearlo hasta que esté a temperatura de ambiente.

8 personas
"
SOUFFLE DE PAPAS MOQUEGUANA,"4 papas grandes, peladas,1 trozo de corteza de limón,Pizca de sal,Pizca de azúcar,100 g (3 ½ oz) de manteca de cerdo,250 mililitros (1 taza) de leche,4 yemas de huevo,6 claras de huevo,Ostras, erizos o camarones,3 huevos cocidos,Azúcar molida"," Pelar las papas y, a medida que estén sin piel, colocarlas en un recipiente con agua fría. Poner a hervir las papas peladas junto con un pedazo de corteza de limón, un poquito de sal y otro poquito de azúcar. Cuando estén bien cocidas, batirlas como para puré en su misma agua y pasarlas por un tamiz. 
En una cacerola, calentar la manteca y verter el puré para que se dore un poco. Añadir la leche.
Retirar la cacerola del fuego e incorporar una por una las yemas y después las claras bien batidas a punto de nieve con una pizca de sal.
Verter la mitad de la preparación en una budinera untada con un poco de manteca. Acomodar las ostras, los erizos o los camarones previamente salteados en un poco de grasa y los huevos duros en rajas. Cubrir con el puré de papas.
Hornear a temperatura mediana durante 15 minutos. Antes de retirar, espolvorear azúcar en la superficie.
Plato del Departamento de Moquegua


Receta del Libro de Cocinas Regionales del Perú de la Sra. Gloria Hinostroza de Molina
De la Escuela Profesional de Turismo y Hotelería de la Universidad San Martín de Porres.

4 – 6 personas
"
PASTEL DE QUINUA “HUAMANI”,"½ k. quinua,½ t. de leche,3 huevos ligeramente batidos,2 yemas de huevo, batidas ligeramente para pintar el pastel,2 dientes de ajo, triturado,2 cebollas chicas o 1 grande picadita en cuadraditos,8 tomates pelados, sin pepas y picados en cuadraditos,1 bolsita de maní de 200 g, molido,2 bolas de queso mozzarella en tajadas,Queso parmesano,Sal,Pimienta,1/4 de taza de aceite vegetal,2 rocotos,3 cebollitas chinas (parte blanca), finamente picadas,Gotas de limón,Sal,Pimienta,10 ajies amarillos frescos sin semillas ni venas (Si no se desea una salsa picante, hervirlos en ½ t. de agua y ¼ t. de azucar),2 cdas. de aceite,¼ de cebolla,Sal,Pimienta"," Lavar y escoger la quinua para eliminar cualquier piedrita. 
Colocarla en una olla y agregarle agua fría que la cubra (por encima unos 4 dedos). Cocinarla hasta que esté bien reventada y haya secado y espesado un poco. Añadirle la leche y los 3 huevos moviendo enérgicamente hasta que esté medio cremosa. Retirar del fuego.
Aparte, en otra olla hacer un aderezo colocando el aceite con el ajo, cebolla y tomate, y añadir la quinua mezclando bien y sazonando con sal y pimienta. Reservar.
En un pyrex rectangular alternar capas de: quinua cocida, maní molido, queso mozzarella en tajadas. Terminar con quinua y luego pintar encima con las yemas. Espolvorear con queso parmesano rallado. Llevar al horno precalentado a 350ºF (180ºC) por aproximadamente 30 minutos hasta que cuaje, se derrita el queso mozzarella y el pastel dore un poco.

Para un sabor más peruano, acompañar con salsa de rocoto y salsa de ají.SALSA DE ROCOTOPelar los rocotos (cáscara con pulpa) para que las semillas y las venas queden intactas y se descarten luego. Es necesario un cuchillo con mucho filo. 
Si se quiere que la salsa quede algo de picante picar un poquito de las venas y semillas y añadir al gusto. Colocar los rocotos con el resto de los ingredientes y licuar.
SALSA DE AJÍLicuar todo"
PASTEL DE PAPAS CUZQUEÑO,"1 k (2 lb 4 oz) de papas blancas cocidas, peladas y cortadas en rebanadas de 1 cm.,300 g (10 oz) de queso fresco serrano, cortado en rebanadas,6 huevos,1 ¾ taza de leche evaporada,5 cucharadas de queso parmesano, rallado,Sal,Pimienta,6 rocotos limpios,¼ de taza de vinagre,Aceite"," Cortar a 6 rocotos una tapa en la parte del tallo. Sacar las pepas y venas. Cocinar en abundante agua con sal y ¼ taza de vinagre. Repetir esta operación tres veces. Esto se hace para que el rocoto no pique demasiado. Si se desea más picante, hervir menos veces. Reservar.
Engrasar una fuente refractaria, acomodar la mitad de las papas y encima la mitad de las rebanadas de queso fresco. Cubrir con el resto de las papas.
En un recipiente mezclar 3 huevos con la leche, sal, pimienta, queso parmesano rallado y verter encima de las papas.
Desmenuzar el queso fresco restante y rellenar la cavidad de los rocotos. Acomodar encima de las papas en el molde.
Batir las 3 claras restantes a punto de nieve y agregar las yemas. Sazonar. Cubrir lo preparado con este batido. Rociar con aceite y llevar al horno precalentado a 350°C (180°F) hasta que cuaje.br>
Servir caliente.

Otros pasteles:
Pastel de papas y poros
Pastel de brócoli y queso de cabra
Pastel de choclo de Tacna
"
PASTEL DE PAPA CON CREMA DE AJÍ,"1 ½ k (3 lb 5 oz) de papa (puede ser blanca o amarilla) peladas y cortadas en rodajas delgadas,2 cucharadas de aceite vegetal,1 cebolla, finamente picada o rallada,2 dientes de ajo, triturados,½ taza de crema de ají *,2 tazas de leche evaporada,250 g g (9 oz) de queso paria** o mozzarella, cortado en tajadas delgadas o rallado grueso,½ taza de queso parmesano rallado,Sal,Pimienta,Perejil picado"," Para preparar la salsa, calentar el aceite en una sartén, agregar la cebolla y saltar 1 a 2 minutos. Agregar el ajo y dejar cocinar hasta que la cebolla esté tierna. Agregar la crema de ají y mezclar. Incorporar luego la leche, mezclar y sazonar con sal y pimienta.
Engrasar un molde para horno con mantequilla. Colocar una capa de rodajas de papa y cubrir con el queso paria. Espolvorear queso parmesano y cubrir con una capa de salsa.
Repetir la capa de papa, el queso paria, queso parmesano y salsa. Continuar hasta terminar cubriendo con la salsa.
Llevar al horno pre-calentado a 375ºF (190ºC) durante 1 hora aproximadamente o hasta que la papa esté cocida. Retirar del horno y dejar reposar 10 minutos. Espolvorear perejil picado encima.

Crema de ají: Partir los ajíes y retirar todas las venas y las pepas. Colocarlos en una olla con agua y llevar a hervir. Escurrir y repetir tres veces. (Esto se hace para que el ají dé sabor y no pique. Si se desea más picante hervir solamente 1 ó 2 veces o dejar algunas venas y/o pepas). Escurrir y colocar los ajíes en una licuadora. Licuar con la cantidad mínima de agua y 1 a 2 cucharadas de aceite. Sazonar. Debe quedar como una crema.

Queso Paria: Es un queso semi duro preparado con leche de vaca, propio del altiplano y la zona sur del Perú. Es ligeramente salado y medio chicloso. Al contacto con el calor se ablanda pero no se derrite.
"
PASTEL DE OLLUCOS,"1 k de olluco, bien lavado, con cáscara, cortado en láminas,500 g, aproximadamente, de queso mantecoso (Cajamarca, Arequipa, Puno etc. o queso fresco con sal), cortado en tajadas o rallado,1 taza de queso parmesano rallado,½ k de ají amarillo fresco, sin semillas ni venas (para que no pique),
cortado en trozos,Aceite, la cantidad necesaria,1 ¾ de taza (1 tarro) de leche evaporada,4 huevos enteros,Sal,Pimienta,Nuez Moscada,Perejil picado"," Engrasar un molde rectangular de 32x22 cm. (16x11 pulg) aproximadamente.
Freír el ají en aceite (lo mínimo necesario) unos minutos. Colocar el ají ya frito en la licuadora y licuar con sal y lo necesario de agua (muy poca)para formar una pasta. Rectificar la sazón.
Colocar capas de ollucos (3 a 4 hileras de olluco por capa); encima esparcir el queso mantecoso o fresco, cubrir con queso parmesano y luego untar el ají licuado. Repetir las capas hasta terminar con el ají y queso parmesano.
Espolvorear perejil picado encima.
Batir ligeramente los huevos en un recipiente y agregar la leche. Sazonar con sal, pimienta y nuez moscada y 2 cucharadas del ají molido, si es que hubiera sobrado.
Verter la leche preparada al pastel de olluco, procurando que penetre bien por los costados.
Llevar al horno precalentado a 350°F (180°C) por 45 a 50 minutos o hasta que el olluco esté cocido y la leche haya cuajado.

6 - 8 personas
"
PASTEL DE CHOCLO DULCE,"2 tazas de choclo desgranado,200 g de margarina,4 huevos,1 ½ taza de sémola (sacarle 1 cucharada),2 tazas de leche fresca,1 taza de azúcar,1/8 de cucharadita de anís,Pizca de sal,1 raja de canela,1 cucharadita de polvo de hornear,1 cucharadita de ajonjolí tostado,1 taza de,2 cucharadas de aceite"," Hervir en una olla la leche con la canela, la margarina y ½ taza de azúcar. Dejar enfriar y agregar la sémola fuera del fuego para que no se formen grumos. Licuar el choclo desgranado con 1 taza de agua y agregar el resto del azúcar, el polvo de hornear, el anís y el aceite. Agregar toda esta mezcla a la leche y echar la sal. Llevar al fuego nuevamente, moviendo, para que la mezcla se seque un poco.

Batir las claras a punto de nieve y batir por separado las yemas hasta que estén amarillo claro. Agregar las yemas a la mezcla de la leche en forma envolvente. Agregar luego las claras batidas también en forma envolvente.
Engrasar y enharinar un molde (pirex) rectangular y verter la mitad de la mezcla. Esparcir el manjarblanco cuidadosamente y luego cubrir completamente con el resto de la mezcla.
Espolvorear con ajonjolí tostado.
Llevar al horno precalentado a 350ºF (180ºC) por 30 minutos o hasta que cuaje.
"
PASTEL DE CHOCLO DE TACNA,"5 choclos,100 g (3 ½ oz) de maní tostado y pelado,100 g (3 ½ oz) de manteca de cerdo,100 g (3 ½ oz) de pasas remojadas,300 g (10 ½ oz) de azúcar,250 mililitros de leche,1 cucharadita de anís en grano,1 cucharada de canela molida,1 cucharadita de sal"," Desgranar los choclos y molerlos con leche. Agregar la manteca, la canela molida, el anís, la sal, el azúcar, el maní y las pasas.
Verter en un molde engrasado y hornear durante una hora. Para saber si está cocido, se introduce una aguja que debe salir limpia.
Una vez frío se desmolda.
Receta de libro Cocinas Regionales del Sur del Perú de Rosario Olivas Weston
Publicado por la Escuela Profesional de Turismo y Hotelería de la
Universidad Sarn Martín de Porres
"
